ID	DEFA4	CD163	PER1	RGS1	HIF1A	SEPP1	C11orf74	CIT	CFD	DDIT4	IFI27	IL1R2
X104	4.224372025	7.25703091	4.547272081	1.521858615	6.854447744			3.596326353	5.757021826	4.661095285	6.318670981	10.52597701
X105	4.696792247	6.1802618	4.341699153	1.306699253	7.699909933			3.328116373	6.341544657	5.614674566	8.495862838	11.63709086
X109	8.121342017	5.25601927	4.418108411	1.587907554	6.572749082			3.569160836	6.760824182	4.726668732	5.572710677	10.38660852
X115	4.446169903	7.00347782	4.449394242	1.710331323	7.243289257			3.840483449	6.515147332	4.856694151	9.391984954	11.00798884
X121	6.204941439	8.4066831	5.008753424	1.674413578	6.765695645			3.588358796	5.821509579	4.326143506	4.61891309	11.86756913
X123	4.555033096	5.79762905	4.713398736	1.591847764	7.327386165			4.241499794	8.151142347	3.003719038	5.027195487	7.643086607
X127	4.775984279	6.82587097	4.697269913	1.526602049	6.792093619			3.480474159	5.67923967	3.948168672	4.592072589	10.86483711
X82	4.202393203	8.67298676	5.108803345	1.374912457	7.450156609			3.230109546	6.253715508	4.440010988	2.917446917	11.82426948
X94	3.415562874	6.22250534	4.526812286	1.363936838	6.866810758			3.596326353	5.402930217	5.338448494	9.655322696	9.092524068
X95	5.132314535	6.70449127	4.546724975	1.492416801	7.89139165			3.596326353	7.633263746	4.970345128	7.796140013	11.13650766
X96	5.420939777	5.92687424	4.230533164	1.509718839	6.70776371			3.515151561	7.003024154	5.52703784	6.370216833	9.117608812
X97	4.160161398	5.71547878	4.807966347	1.602534628	7.252071111			3.907646985	4.653625693	3.91013689	10.85289439	10.14548196
C13	4.038066259	4.00955764	4.415512024	1.592437372	7.299597451			3.596326353	5.851478652	3.937184652	4.735148775	5.092437527
C8	4.555033096	3.99284933	4.547272081	1.580682552	6.353215752			4.382975535	6.707637697	2.82216672	4.281514944	4.786184489
C9	4.274304772	3.47420881	4.71229596	1.519524306	5.704692712			3.97159766	6.016427536	3.960060477	8.634064438	4.554300513
6235821066_A	8.190007504	11.0158877	2.629055523	4.457200302	5.257702475		6.547836683		11.55201694	7.972910526	3.201016108	6.926037998
6235821066_C	11.88363035	8.38084454	2.565773265	4.854929109	6.623015123		5.273173817		9.956913825	8.535008765	3.766374051	7.610572178
6235821066_D	9.34375739	9.96279818	2.914777457	4.791780484	5.947581379		6.275436153		12.51828887	8.424625125	9.41025713	6.971533211
6235821066_E	9.049108272	9.05994407	2.730985769	4.959523748	5.098025393		6.113807235		11.54975415	8.561276613	3.609027421	6.625291522
6235821066_F	8.135998646	10.6491306	4.057300421	5.580126556	6.39723141		6.079255528		10.8480872	8.534385391	7.092336908	8.86846136
6235821066_H	9.68109358	10.5561504	2.62918305	4.788706844	6.054357606		7.008490167		8.377707151	8.96049099	2.736533085	8.092622293
6235821066_I	10.38585222	9.05254846	2.41899283	5.218406548	6.178160858		3.505334395		13.6968904	8.431684681	10.72651762	7.90083323
